"timestamp_normalizzato","target","evja_temp"
"2021_9_1_23_1",16.784,16.1
"2021_9_1_23_2",16.789,16.1
"2021_9_1_23_3",16.595,15.9
"2021_9_2_0_0",16.777,16
"2021_9_2_0_1",16.612,15.9
"2021_9_2_0_2",16.393,15.4
"2021_9_2_0_3",16.161,15.3
"2021_9_2_1_0",15.697,15
"2021_9_2_1_1",15.321,14.7
"2021_9_2_1_2",15.354,14.7
"2021_9_2_1_3",15.176,14.6
"2021_9_2_2_0",15.124,14.4
"2021_9_2_2_1",14.921,14.3
"2021_9_2_2_2",14.909,14.2
"2021_9_2_2_3",14.816,14.2
"2021_9_2_3_0",14.895,14.1
"2021_9_2_3_1",14.891,14.2
"2021_9_2_3_2",14.898,14.3
"2021_9_2_3_3",15.034,14.4
"2021_9_2_4_0",15.269,14.5
"2021_9_2_4_1",14.87,14.3
"2021_9_2_4_2",15.173,14.3
"2021_9_2_4_3",14.954,14.2
"2021_9_2_5_0",14.888,14.1
"2021_9_2_5_1",15.26,14.2
"2021_9_2_5_2",15.904,14.5
"2021_9_2_5_3",15.366,14.4
"2021_9_2_6_0",15.348,14.4
"2021_9_2_6_1",16.071,14.7
"2021_9_2_6_2",16.114,14.8
"2021_9_2_6_3",15.646,14.6
"2021_9_2_7_0",16.165,14.8
"2021_9_2_7_1",16.338,14.9
"2021_9_2_7_2",16.497,15.2
"2021_9_2_7_3",17.186,15.9
"2021_9_2_8_0",18.916,17.4
"2021_9_2_8_1",19.879,18.3
"2021_9_2_8_2",21.169,19.4
"2021_9_2_8_3",22.773,20.4
"2021_9_2_9_0",24.532,21.4
"2021_9_2_9_1",26.504,22.3
"2021_9_2_9_2",27.014,23.1
"2021_9_2_9_3",27.259,23.4
"2021_9_2_10_0",28.051,23.8
"2021_9_2_10_1",28.309,25.6
"2021_9_2_10_2",29.729,25
"2021_9_2_10_3",28.324,25.4
"2021_9_2_11_0",28.85,25.9
"2021_9_2_11_1",28.349,26.4
"2021_9_2_11_2",28.224,27
"2021_9_2_11_3",28.258,27.3
"2021_9_2_12_0",29.05,27.8
"2021_9_2_12_1",29.541,28.2
"2021_9_2_12_2",28.14,28.4
"2021_9_2_12_3",29.034,28.5
"2021_9_2_13_0",29.168,29
"2021_9_2_13_1",29.307,29.4
"2021_9_2_13_2",29.515,29.8
"2021_9_2_13_3",29.393,31
"2021_9_2_14_0",28.686,31.2
"2021_9_2_14_1",29.032,31.7
"2021_9_2_14_2",28.3,31.5
"2021_9_2_14_3",28.735,32
"2021_9_2_15_0",29.461,32.2
"2021_9_2_15_1",28.913,31.6
"2021_9_2_15_2",31.311,32.3
"2021_9_2_15_3",28.51,31.4
"2021_9_2_16_0",29.07,29.8
"2021_9_2_16_1",28.684,29.4
"2021_9_2_16_2",20.324,23.7
"2021_9_2_16_3",25.852,26.1
"2021_9_2_17_0",26.855,27.2
"2021_9_2_17_1",30.591,27.4
"2021_9_2_17_2",30.011,27.3
